timestep,year,month,kaoma_precip,min_temp,max_temp,pet,soil_storage,ground_storage,et,it_baseflow,kg_baseflow,it_runoff,kg_runoff,it_streamflow,kg_streamflow
1,1,1,242.5,18,29,132.17207846630302,28.283485865155768,225.8010209497727,75.41068831166658,1140.0,565.656,3516.0519576438937,1744.6279703096616,4656.051957643894,2310.2839703096615
2,1,2,209.1,18,29,123.88300680929046,28.163281086239166,268.56329498323396,70.98318989522198,1716.0877592182724,851.5046820424308,1988.1074818192692,986.4780050315444,3704.1952410375416,1837.9826870739753
3,1,3,97.6,17,29,155.68411796303474,13.28997388291883,221.11046825921503,62.67046519629983,2041.081041872578,1012.7629279135745,0.15562723987137872,0.07722059824270579,2041.2366691124494,1012.8401485118171
4,1,4,5.6,14,29,169.23842497826067,0.7766095362012209,148.59886302375457,15.582097169851345,1680.439558770034,833.8164202242301,3.796962744218035e-12,1.8840129456521027e-12,1680.4395587700378,833.816420224232
5,1,5,0.0,10,28,165.05797310375937,0.005212106169063424,99.56123822591556,0.7549961028639861,1129.3513589805348,560.3722564170995,0.0,0.0,1129.3513589805348,560.3722564170995
6,1,6,0.0,6,26,141.742887521006,0.0,66.70602961136342,0.0,756.6654105169582,375.44941179945664,0.0,0.0,756.6654105169582,375.44941179945664
7,1,7,0.0,6,26,142.2375377903332,0.0,44.69303983961349,0.0,506.96582504636194,251.5511059056359,0.0,0.0,506.96582504636194,251.5511059056359
8,1,8,0.0,9,29,167.28172744520433,0.0,29.94433669254104,0.0,339.6671027810625,168.53924095677604,0.0,0.0,339.6671027810625,168.53924095677604
9,1,9,0.0,13,32,194.39654517008267,0.0,20.062705584002494,0.0,227.57695886331192,112.92129144103997,0.0,0.0,227.57695886331192,112.92129144103997
10,1,10,124.6,17,33,194.6764650743927,10.497434497962928,65.05715126341882,68.4421418994281,152.47656243841894,75.65726526549676,0.17167389093820873,0.08518277758995035,152.64823632935713,75.74244804308671
11,1,11,152.0,17,31,171.731836842256,16.384593642136707,118.26902110013397,75.20538581959528,494.43434960198306,245.33311970040293,5.330055236966018,2.6447173027379387,499.7644048389491,247.97783700314088
12,1,12,158.0,18,29,143.93579061354384,20.529443015623443,164.61155907578018,70.97193698799394,898.8445603610181,445.9972093294492,33.05474295516092,16.401415509688164,931.899303316179,462.39862483913737
13,2,1,228.8,18,29,134.2781165838324,27.774796475092117,234.59364867316168,75.9155248430453,1251.0478489759294,620.7567737371301,2192.502648273189,1087.8967350979115,3443.5504972491185,1708.6535088350415
14,2,2,203.7,18,29,124.62429399920649,27.876449422079673,273.15461848783826,71.06174210127365,1782.9117299160287,884.6620328924396,1576.4190146528279,782.2025211863685,3359.3307445688565,1666.864554078808
15,2,3,95.5,17,29,155.9670312294991,12.961491207546182,222.80261244480778,62.05658269495762,2075.975100507571,1030.0769925023776,0.11907370919665539,0.059083121095915174,2076.0941742167674,1030.1360756234735
16,2,4,13.7,14,29,168.37949278362169,1.333867932623928,151.04608429412758,20.961135918641915,1693.2998545805392,840.197563633868,1.8562928971732617e-11,9.210729956521391e-12,1693.2998545805578,840.1975636338772
17,2,5,0.0,10,28,165.05797310375937,0.012266874987005627,101.20087647706549,1.2829955984603336,1147.9502406353697,569.6008257165269,0.0,0.0,1147.9502406353697,569.6008257165269
18,2,6,0.0,6,26,141.742887521006,0.0,67.80458723963388,0.0,769.1266612256978,381.63255323007314,0.0,0.0,769.1266612256978,381.63255323007314
19,2,7,0.0,6,26,142.2375377903332,0.0,45.4290734505547,0.0,515.3148630212174,255.6938106641489,0.0,0.0,515.3148630212174,255.6938106641489
20,2,8,0.0,9,29,167.28172744520433,0.0,30.437479211871644,0.0,345.2609582242157,171.31485314497976,0.0,0.0,345.2609582242157,171.31485314497976
21,2,9,2.3,13,32,194.17652671087714,0.023554738565124023,20.48055639461961,2.190398634834858,231.3248420102245,114.78095160713643,3.12194714524594e-12,1.5490773108695066e-12,231.32484201022763,114.78095160713798
22,2,10,68.6,17,33,201.68114959818647,4.433127702672074,33.53938648807449,46.20244355553549,155.65222859910904,77.23299738636635,0.0001751920351722447,8.692844372578179e-05,155.6524037911442,77.23308431481007
23,2,11,252.6,17,31,158.24807334695737,26.291404111649655,158.58948822786974,86.1083521922016,254.89933730936613,126.47836802198843,1486.9453810468785,737.8066460188186,1741.8447183562446,864.285014040807
24,2,12,361.4,18,29,112.579528852685,29.439660557741163,223.06572774456785,66.31165677331133,1205.28011053181,598.0473036868259,16637.541366791338,8255.372894187476,17842.82147732315,8853.420197874302
25,3,1,204.8,18,29,137.94266332006117,26.90019903484233,267.40073483325307,76.74274830107112,1695.2995308587158,841.1897819538752,1092.6365192444614,542.154739412057,2787.936050103177,1383.3445213659322
26,3,2,218.5,18,29,122.58926208109435,28.471405832838755,297.85349620571367,70.63291449069646,2032.2455847327235,1008.3788670855907,2650.883144185674,1315.3403121118347,4683.128728918397,2323.7191791974255
27,3,3,0.0,17,29,168.66876815767088,1.4727003365093907,199.60664251873933,22.159372277469497,2263.6865711634237,1123.2174483315944,0.0,0.0,2263.6865711634237,1123.2174483315944
28,3,4,10.1,14,29,168.76141083835208,0.36183493450354653,134.73268032105491,10.042331973706482,1517.010483142419,752.7246332038668,3.375077994860476e-12,1.6746781739129801e-12,1517.0104831424223,752.7246332038685
29,3,5,0.0,10,28,165.05797310375937,0.0015562941613737058,90.2708958151068,0.35538161882375746,1023.9683704400175,508.082326797911,0.0,0.0,1023.9683704400175,508.082326797911
30,3,6,0.0,6,26,141.742887521006,0.0,60.48150019612155,0.0,686.0588081948117,340.4151589546003,0.0,0.0,686.0588081948117,340.4151589546003
31,3,7,0.0,6,26,142.2375377903332,0.0,40.52260513140144,0.0,459.65940149052375,228.07815649958224,0.0,0.0,459.65940149052375,228.07815649958224
32,3,8,0.0,9,29,167.28172744520433,0.0,27.15014543803897,0.0,307.9717989986509,152.8123648547201,0.0,0.0,307.9717989986509,152.8123648547201
33,3,9,0.5,13,32,194.34872176223257,0.002103012012440564,18.198334773400752,0.4902108841239692,206.34110532909617,102.38428445266247,5.4001247917767614e-12,2.679485078260768e-12,206.34110532910157,102.38428445266516
34,3,10,97.8,17,33,198.0384662340453,7.46957043296932,47.28088652592468,58.99358891804347,138.30734427784571,68.62664836388518,0.01029956883229488,0.005110537638070695,138.317643846678,68.63175890152326
35,3,11,232.5,17,31,160.97034490210342,25.084232006305427,162.21240794828168,85.68850532497407,359.3347375970276,178.29811432472303,708.75214543759,351.67535401723285,1068.0868830346176,529.9734683419558
36,3,12,115.5,18,29,150.20716421263057,15.670308701726938,162.31150580845974,65.41834858723603,1232.8143004069407,611.7094788692882,1.1311745801677375,0.5612769195783875,1233.9454749871084,612.2707557888666
37,4,1,194.5,18,29,139.50593726549073,24.8752562824547,220.74927511127055,74.97899146065544,1233.567444144294,612.083180863934,365.3475008214697,181.28158414444673,1598.9149449657639,793.3647650083807
38,4,2,60.3,18,29,143.8387758641101,8.757450137021308,168.33074394494128,48.19515968057597,1677.6944908456562,832.4543464156058,0.0010732739417207426,0.0005325472322613934,1677.695564119598,832.454878962838
39,4,3,1.3,17,29,168.4979299684467,0.29075191449527793,112.83223179329063,8.830127854723683,1279.3136539815537,634.7819686461313,3.5016434196677437e-12,1.737478605434717e-12,1279.313653981557,634.781968646133
40,4,4,0.0,14,29,169.83145037545262,0.00106157363145859,75.59759530150473,0.286262002574196,857.5249616290088,425.4948593817707,0.0,0.0,857.5249616290088,425.4948593817707
41,4,5,0.0,10,28,165.05797310375937,0.0,50.65038885200816,0.0,574.5417242914359,285.08155578578635,0.0,0.0,574.5417242914359,285.08155578578635
42,4,6,0.0,6,26,141.742887521006,0.0,33.93576053084547,0.0,384.9429552752621,191.00464237647688,0.0,0.0,384.9429552752621,191.00464237647688
43,4,7,0.0,6,26,142.2375377903332,0.0,22.736959555666466,0.0,257.9117800344256,127.97311039223952,0.0,0.0,257.9117800344256,127.97311039223952
44,4,8,2.8,9,29,167.062757231982,0.039039544082771105,15.36079165009656,2.636684760762332,172.80089262306515,85.74198396280048,3.796962744218035e-12,1.8840129456521027e-12,172.80089262306896,85.74198396280237
45,4,9,0.8,13,32,194.32002593371195,0.004772021777323943,10.30805586275492,0.8168283464704255,116.74201654073387,57.92615974418013,4.324318680914985e-12,2.145681410326006e-12,116.74201654073819,57.92615974418228
46,4,10,48.6,17,33,204.16417998771132,2.6209155878343395,18.246630212547792,35.5378073896317,78.34122455693739,38.87209098068332,3.461290312145593e-06,1.7174558182517785e-06,78.3412280182277,38.872092698139134
47,4,11,128.9,17,31,174.78040325277516,12.544798972849918,69.52912521786206,67.6065085378692,138.67438961536322,68.80877239672623,0.5610376813719142,0.27838099183693993,139.23542729673514,69.08715338856317
48,4,12,260.0,18,29,128.51439456745572,28.523798495834896,171.21770608325252,73.77657956770865,528.4213516557517,262.19711236156655,4448.375554118943,2207.237124947987,4976.796905774695,2469.4342373095537
49,5,1,177.8,18,29,142.02889491265947,24.289175099324822,216.16223288281765,75.4265234925348,1301.2545662327193,645.6688183481887,223.93995475061132,111.11664828457175,1525.1945209833307,756.7854666327604
50,5,2,89.2,18,29,140.03473541506025,12.967855542977851,182.39632051549685,56.4721649895014,1642.8329699094143,815.1564266904207,0.09787432283168584,0.048564208733052706,1642.930844232246,815.2049908991538
51,5,3,43.7,17,29,162.8954460407913,4.32058817157224,133.33685923254214,37.932216554409834,1386.2120359177761,687.8238205167593,7.762133300559526e-06,3.8514888370713155e-06,1386.2120436799094,687.8238243682481
52,5,4,0.0,14,29,169.83145037545262,0.07589543295038848,89.33569568580324,3.9992968123424983,1013.3601301673203,502.81862964028574,0.0,0.0,1013.3601301673203,502.81862964028574
53,5,5,10.7,10,28,164.13996075705103,0.3350317989978375,60.94977064859943,9.386373737585727,678.9512872121046,336.8884818589915,3.5438318946034997e-12,1.7584120826086292e-12,678.9512872121081,336.88848185899326
54,5,6,0.0,6,26,141.742887521006,0.0016689667109645034,40.83634633456162,0.3287884627696776,463.2182569293557,229.8440231066944,0.0,0.0,463.2182569293557,229.8440231066944
55,5,7,0.0,6,26,142.2375377903332,0.0,27.36035204415628,0.0,310.35623214266826,153.99549548148525,0.0,0.0,310.35623214266826,153.99549548148525
56,5,8,0.0,9,29,167.28172744520433,0.0,18.33143586958471,0.0,207.93867553558772,103.1769819725951,0.0,0.0,207.93867553558772,103.1769819725951
57,5,9,21.1,13,32,192.37514904322032,0.784065502028934,15.32628188205506,17.442036529910315,139.3189126088438,69.12857792163872,4.772360284732713e-10,2.367994937912954e-10,139.31891260932102,69.12857792187552
58,5,10,54.9,17,33,203.3830592930952,3.2274178426101727,24.11008633828326,39.5137516229256,116.47974230361845,57.796022028504915,1.4181871854646033e-05,7.0368955314137336e-06,116.4797564854903,57.79602906540045
59,5,11,166.5,17,31,169.8094860159663,17.3735375169167,101.36785237852578,76.44333461608309,183.23665617095278,90.92009998511969,11.96245232313018,5.9356429221864255,195.19910849408296,96.85574290730612
60,5,12,142.5,18,29,146.23281182712054,18.507839405527278,141.14998154176115,68.78370179626452,770.395678076796,382.2622260335159,9.92420633161359,4.924286716416857,780.3198844084096,387.1865127499328
61,6,1,316.4,18,29,120.6205864827388,29.096144722921807,215.7314030371449,70.23853754589621,1072.7398597173847,532.2822263932429,10875.521094138776,5396.319087742248,11948.260953856161,5928.601314135491
62,6,2,165.4,18,29,129.84281796582908,24.52470507323551,239.61903226684046,69.85619415754593,1639.558663082301,813.531750109195,188.07650528686793,93.32158217065664,1827.6351683691692,906.8533322798515
63,6,3,54.8,17,29,161.4187366659454,7.033277687503563,177.10843549529827,47.926637406320104,1821.1046452279875,903.6129554395461,0.00016641538717721005,8.257356337641397e-05,1821.1048116433747,903.6130380131095
64,6,4,2.6,14,29,169.5561986152829,0.2695305848657128,118.79114875099285,8.49085775981272,1346.0241097642668,667.8829945901896,3.5016434196677437e-12,1.737478605434717e-12,1346.0241097642702,667.8829945901913
65,6,5,11.0,10,28,164.1141987542039,0.3595432075286169,80.73631542282655,9.778065462388854,902.8127305075458,447.9661735859441,3.7125857943465235e-12,1.8421459913042782e-12,902.8127305075495,447.9661735859459
66,6,6,0.0,6,26,141.742887521006,0.0018662852353997783,54.09333133329378,0.3525617178554725,613.5959972134818,304.4598749120958,0.0,0.0,613.5959972134818,304.4598749120958
67,6,7,0.0,6,26,142.2375377903332,0.0,36.242531993306834,0.0,411.1093181330328,203.98811619110418,0.0,0.0,411.1093181330328,203.98811619110418
68,6,8,17.3,9,29,165.92734943731304,0.6941023205671666,26.643731127227873,14.386841189332987,275.44324314913194,136.67203784803982,1.3736567439082137e-10,6.81594016782583e-11,275.44324314926934,136.67203784810798
69,6,9,11.7,13,32,193.2765006126745,0.3386555688526425,19.03359104766242,10.817503944745118,202.49235656693185,100.47457583002141,3.881339694089547e-12,1.925879899999927e-12,202.49235656693574,100.47457583002334
70,6,10,14.0,17,33,208.43749474577913,0.3859336245036573,14.274070479032948,12.439052641031294,144.6552919622344,71.77643318437688,4.725109192804666e-12,2.3445494434781722e-12,144.65529196223912,71.77643318437923
71,6,11,144.8,17,31,172.68385974074698,14.303442532948395,78.12268765137549,71.04929850928767,108.48293564065041,53.82809073925241,2.039371454510075,1.011914648659957,110.52230709516049,54.84000538791237
72,6,12,190.2,18,29,139.1263637100824,24.380874099599993,161.69056676963066,74.15334321649698,593.7324261504538,294.603780040843,278.2416170033018,138.060561497912,871.9740431537556,432.664341538755
