timestep,year,month,hydro_demand
1,1,1,649
2,1,2,591
3,1,3,778
4,1,4,557
5,1,5,576
6,1,6,557
7,1,7,576
8,1,8,576
9,1,9,559
10,1,10,584
11,1,11,574
12,1,12,607
13,2,1,609
14,2,2,546
15,2,3,778
16,2,4,557
17,2,5,576
18,2,6,557
19,2,7,576
20,2,8,576
21,2,9,559
22,2,10,583
23,2,11,574
24,2,12,606
25,3,1,576
26,3,2,524
27,3,3,778
28,3,4,557
29,3,5,576
30,3,6,557
31,3,7,576
32,3,8,576
33,3,9,560
34,3,10,586
35,3,11,577
36,3,12,611
37,4,1,595
38,4,2,526
39,4,3,778
40,4,4,557
41,4,5,576
42,4,6,557
43,4,7,576
44,4,8,580
45,4,9,570
46,4,10,601
47,4,11,597
48,4,12,637
49,5,1,658
50,5,2,524
51,5,3,778
52,5,4,557
53,5,5,576
54,5,6,557
55,5,7,576
56,5,8,578
57,5,9,566
58,5,10,596
59,5,11,590
60,5,12,627
61,6,1,644
62,6,2,581
63,6,3,778
64,6,4,557
65,6,5,576
66,6,6,557
67,6,7,576
68,6,8,576
69,6,9,561
70,6,10,588
71,6,11,580
72,6,12,614

