timestep,year,month,streamflow
1,1,1,2311.971167
2,1,2,1835.256561
3,1,3,1012.878816
4,1,4,833.8534054
5,1,5,560.3977611
6,1,6,375.4664999
7,1,7,251.5625549
8,1,8,168.5469118
9,1,9,112.9264309
10,1,10,75.74637358
11,1,11,248.0541092
12,1,12,462.3615854
13,2,1,1709.619634
14,2,2,1664.451138
15,2,3,1030.135502
16,2,4,840.2077187
17,2,5,569.6100611
18,2,6,381.6387409
19,2,7,255.6979564
20,2,8,171.3176308
21,2,9,114.7828126
22,2,10,77.23435503
23,2,11,863.8809229
24,2,12,8849.720912
25,3,1,1384.388304
26,3,2,2320.866042
27,3,3,1123.416659
28,3,4,752.8580903
29,3,5,508.1728156
30,3,6,340.4757864
31,3,7,228.1187769
32,3,8,152.8395805
33,3,9,102.402519
34,3,10,68.64400711
35,3,11,529.816963
36,3,12,612.3173627
37,4,1,793.6081964
38,4,2,832.4474331
39,4,3,634.7485944
40,4,4,425.4724706
41,4,5,285.0665553
42,4,6,190.994592
43,4,7,127.9663767
44,4,8,85.73747236
45,4,9,57.92305551
46,4,10,38.87001711
47,4,11,69.10279878
48,4,12,2465.740471
49,5,1,757.1642764
50,5,2,815.3486831
51,5,3,687.8719476
52,5,4,502.8533
53,5,5,336.911711
54,5,6,229.8574924
55,5,7,154.0045199
56,5,8,103.1830283
57,5,9,69.13262898
58,5,10,57.79965035
59,5,11,96.87424001
60,5,12,387.1606074
61,6,1,5929.893661
62,6,2,906.302138
63,6,3,903.4460536
64,6,4,667.7746317
65,6,5,447.8937472
66,6,6,304.4091487
67,6,7,203.9541296
68,6,8,136.6492668
69,6,9,100.4576294
70,6,10,71.76541215
71,6,11,54.8337847
72,6,12,432.0733697
