timestep,year,month,soil_storage
1,1,1,28.28581027
2,1,2,28.15676708
3,1,3,13.29129365
4,1,4,0.777339515
5,1,5,0.005211856
6,1,6,0
7,1,7,0
8,1,8,0
9,1,9,0
10,1,10,10.50674738
11,1,11,16.38333685
12,1,12,20.51813214
13,2,1,27.77738903
14,2,2,27.86920115
15,2,3,12.96267866
16,2,4,1.335054469
17,2,5,0.012265308
18,2,6,0
19,2,7,0
20,2,8,0
21,2,9,0.023560104
22,2,10,4.437613552
23,2,11,26.28983455
24,2,12,29.43635029
25,3,1,26.90402229
26,3,2,28.46581044
27,3,3,1.472566002
28,3,4,0.362131435
29,3,5,0.001555923
30,3,6,0
31,3,7,0
32,3,8,0
33,3,9,0.002103491
34,3,10,7.476650507
35,3,11,25.0825267
36,3,12,15.66035095
37,4,1,24.87943489
38,4,2,8.751446018
39,4,3,0.290541612
40,4,4,0.001061254
41,4,5,0
42,4,6,0
43,4,7,0
44,4,8,0.039017948
45,4,9,0.004772915
46,4,10,2.623671894
47,4,11,12.54317914
48,4,12,28.51944077
49,5,1,24.29409733
50,5,2,12.95970361
51,5,3,4.32053909
52,5,4,0.075958084
53,5,5,0.334524963
54,5,6,0.001666713
55,5,7,0
56,5,8,0
57,5,9,0.784241138
58,5,10,3.230783717
59,5,11,17.37152297
60,5,12,18.49690118
61,6,1,29.09772948
62,6,2,24.51331095
63,6,3,7.033198387
64,6,4,0.269753467
65,6,5,0.359007457
66,6,6,0.001863832
67,6,7,0
68,6,8,0.693723892
69,6,9,0.338715905
70,6,10,0.386361958
71,6,11,14.30136551
72,6,12,24.3697922
