Month,Year,MaxTemp,MinTemp
1,1980,27.7,16.4
4,1980,26,17
5,1980,26,10.4
6,1980,21.5,7.1
7,1980,22.4,8.5
8,1980,23,9
9,1980,31,14.4
10,1980,29,14.5
12,1980,26,17
1,1981,27,17
2,1981,26.5,17.9
3,1981,26.7,16.9
4,1981,26,13.7
5,1981,23.6,10.9
6,1981,21.9,7.1
7,1981,23.3,7.6
8,1981,27.5,11.2
9,1981,29.7,13.9
10,1981,31.1,15.9
11,1981,31.2,17.4
12,1981,30.2,17.3
1,1982,26.3,17.8
2,1982,27.6,17.5
3,1982,28,15.3
4,1982,26,15.7
5,1982,24.6,10.2
6,1982,26,10.6
7,1982,22.7,9.6
8,1982,27.2,11.5
9,1982,29.8,14.3
10,1982,27.9,16.9
11,1982,31.3,18.4
1,1985,28.6,16.9
2,1985,26.8,17.2
3,1985,27.1,16.8
4,1985,26,13.5
5,1985,25.2,11.3
6,1985,23.9,7.7
7,1985,24.7,8.2
8,1985,25.5,9.9
9,1985,30.5,15.3
10,1985,31.2,16.2
11,1985,29.6,15.8
12,1985,26,17.2
2,1986,27,14.9
3,1986,27.5,16.6
4,1986,27.3,15.8
5,1986,25.6,11.1
7,1986,24.5,8.7
8,1986,26.7,8.9
9,1986,30.1,15.3
10,1986,29.6,16.8
11,1986,30,18.2
2,1990,27.9,17.1
3,1990,28.5,16.8
4,1990,26.3,15.1
5,1990,28.4,12.8
6,1990,25.5,11
7,1990,24.9,9.4
8,1990,26.1,10.1
9,1990,28.9,13.3
10,1990,33.2,17.6
11,1990,31.2,18.1
12,1990,27.7,17.8
1,1991,27.5,17.8
2,1991,27.7,17.4
3,1991,27.4,16.8
4,1991,26.5,14.6
5,1991,26.7,13.2
6,1991,25.7,8.8
7,1991,25.3,9.4
8,1991,26.5,10.7
9,1991,29.9,14.2
10,1991,30,16.1
11,1991,29.1,17.7
12,1991,29,17.6
2,1995,28.1,17.7
3,1995,29.2,16.1
4,1995,29.9,14.6
5,1995,26.8,12.5
6,1995,24.8,8.2
7,1995,24.2,8.8
8,1995,26.9,12.4
9,1995,31.2,13.6
10,1995,35.9,19.4
12,1995,28.9,18.1
1,1997,28,18.2
2,1997,27.3,17.5
3,1997,28.4,17.3
4,1997,26.9,14.7
5,1997,26.9,11.5
6,1997,26.9,11.7
7,1997,22.4,9.3
8,1997,29.9,13
9,1997,31.5,15.1
10,1997,28.5,15
